id,class
1,E
3,G
5,F
7,F
9,G
11,F
13,F
15,G
17,F
19,G
21,F
23,G
25,E
27,F
29,F
31,G
33,G
35,G
37,G
39,E
41,G
43,G
45,D
47,G
49,G
51,F
53,G
55,G
57,A
59,F
61,F
63,A
65,G
67,D
69,G
71,G
73,G
75,F
77,E
79,D
81,F
83,G
85,F
87,G
89,G
91,G
93,G
95,G
97,G
99,D
101,G
103,F
105,G
107,F
109,F
111,G
113,F
115,F
117,F
119,D
121,F
123,G
125,F
127,F
129,G
131,G
133,E
135,G
137,G
139,G
141,E
143,F
145,G
147,G
149,G
151,G
153,G
155,G
157,D
159,G
161,G
163,G
165,G
167,F
169,G
171,G
173,G
175,F
177,A
179,G
181,F
183,F
185,G
187,G
189,F
191,F
193,F
195,F
197,G
199,E
201,G
203,G
205,G
207,F
209,F
211,D
213,G
215,F
217,F
219,F
221,G
223,G
225,E
227,F
229,E
231,F
233,G
235,G
237,G
239,G
241,F
243,E
245,E
247,G
249,G
251,G
253,G
255,F
257,D
259,F
261,G
263,F
265,F
267,G
269,G
271,D
273,G
275,G
277,G
279,F
281,F
283,G
285,G
287,G
289,F
291,G
293,D
295,G
297,F
299,G
301,F
303,F
305,F
307,F
309,G
311,F
313,F
315,F
317,F
319,G
321,A
323,G
325,F
327,G
329,G
331,F
333,G
335,G
337,G
339,E
341,G
343,G
345,G
347,F
349,F
351,F
353,G
355,G
357,G
359,G
361,G
363,G
365,G
367,F
369,D
371,D
373,F
375,A
377,F
379,G
381,G
383,E
385,F
387,F
389,F
391,D
393,F
395,E
397,G
399,F
401,F
403,F
405,G
407,G
409,D
411,D
413,G
415,F
417,F
419,G
421,G
423,F
425,G
427,F
429,F
431,E
433,F
435,G
437,G
439,F
441,G
443,F
445,F
447,G
449,F
451,G
453,F
455,G
457,G
459,F
461,G
463,G
465,F
467,E
469,G
471,D
473,F
475,A
477,G
479,G
481,G
483,F
485,G
487,D
489,F
491,E
493,E
495,G
497,G
499,F
501,G
503,G
505,G
507,G
509,G
511,G
513,F
515,G
517,G
519,G
521,E
523,G
525,G
527,G
529,G
531,G
533,G
535,G
537,G
539,D
541,D
543,F
545,E
547,F
549,G
551,F
553,G
555,G
557,F
559,D
561,F
563,F
565,E
567,G
569,G
571,B
573,D
575,G
577,G
579,E
581,G
583,C
585,G
587,F
589,G
591,F
593,G
595,G
597,F
599,D
601,E
603,F
605,G
607,A
609,G
611,F
613,F
615,G
617,D
619,F
621,F
623,G
625,F
627,F
629,G
631,G
633,G
635,D
637,G
639,G
641,G
643,G
645,G
647,A
649,G
651,G
653,F
655,G
657,G
659,G
661,E
663,G
665,F
667,G
669,G
671,G
673,F
675,F
677,G
679,G
681,G
683,G
685,F
687,D
689,E
691,D
693,F
695,F
697,F
699,F
701,G
703,G
705,G
707,F
709,G
711,A
713,G
715,G
717,G
719,G
721,G
723,F
725,G
727,A
729,G
731,F
733,G
735,E
737,D
739,E
741,D
743,G
745,G
747,G
749,D
751,D
753,G
755,G
757,G
759,F
761,D
763,G
765,E
767,G
769,A
771,E
773,B
775,G
777,E
779,F
781,G
783,G
785,E
787,G
789,E
791,F
793,F
795,A
797,G
799,G
801,E
803,F
805,F
807,G
809,G
811,F
813,F
815,F
817,G
819,E
821,D
823,G
825,G
827,F
829,G
831,F
833,A
835,F
837,G
839,G
841,G
843,G
845,G
847,G
849,G
851,G
853,G
855,G
857,G
859,D
861,F
863,F
865,F
867,F
869,F
871,F
873,G
875,F
877,G
879,A
881,F
883,G
885,E
887,G
889,F
891,E
893,G
895,G
897,D
899,G
901,G
903,G
905,F
907,G
909,G
911,E
913,G
915,G
917,G
919,G
921,G
923,F
925,F
927,C
929,G
931,F
933,G
935,F
937,G
939,E
941,F
943,G
945,D
947,D
949,G
951,F
953,G
955,F
957,F
959,G
961,G
963,G
965,G
967,G
969,G
971,G
973,E
975,G
977,G
979,F
981,G
983,G
985,G
987,G
989,C
991,F
993,F
995,G
997,G
999,G
1001,G
1003,G
1005,E
1007,E
1009,G
1011,G
1013,F
1015,G
1017,G
1019,F
1021,E
1023,G
1025,D
1027,F
1029,G
1031,G
1033,F
1035,G
1037,G
1039,B
1041,G
1043,G
1045,G
1047,D
1049,G
1051,F
1053,E
1055,A
1057,G
1059,G
1061,F
1063,G
1065,F
1067,G
1069,G
1071,F
1073,G
1075,G
1077,G
1079,F
1081,G
1083,G
1085,F
1087,F
1089,G
1091,F
1093,F
1095,G
1097,G
1099,F
1101,F
1103,G
1105,G
1107,F
1109,G
1111,A
1113,G
1115,F
1117,A
1119,G
1121,F
1123,F
1125,G
1127,F
1129,G
1131,G
1133,G
1135,G
1137,G
1139,F
1141,G
1143,G
1145,F
1147,D
1149,G
1151,F
1153,G
1155,F
1157,E
1159,F
1161,G
1163,F
1165,G
1167,E
1169,F
1171,G
1173,G
1175,G
1177,G
1179,G
1181,G
1183,G
1185,E
1187,F
1189,G
1191,G
1193,G
1195,F
1197,G
1199,F
1201,F
1203,F
1205,F
1207,G
1209,D
1211,A
1213,G
1215,D
1217,G
1219,G
1221,G
1223,G
1225,G
1227,A
1229,G
1231,G
1233,F
1235,G
1237,G
1239,D
1241,G
1243,G
1245,D
1247,G
1249,G
1251,F
1253,G
1255,G
1257,G
1259,A
1261,F
1263,G
1265,E
1267,G
1269,F
1271,F
1273,G
1275,G
1277,G
1279,G
1281,G
1283,F
1285,G
1287,G
1289,G
1291,D
1293,F
1295,F
1297,F
1299,F
1301,G
1303,A
1305,G
1307,F
1309,G
1311,F
1313,F
1315,F
1317,F
1319,E
1321,G
1323,G
1325,G
1327,G
1329,F
1331,F
1333,G
1335,G
1337,G
1339,D
1341,A
1343,G
1345,G
1347,F
1349,F
1351,F
1353,E
1355,F
1357,G
1359,G
1361,F
1363,E
1365,G
1367,F
1369,F
1371,G
1373,G
1375,F
1377,G
1379,F
1381,G
1383,G
1385,A
1387,G
1389,G
1391,E
1393,G
1395,D
1397,G
1399,A
1401,G
1403,D
1405,G
1407,G
1409,G
1411,G
1413,F
1415,G
1417,F
1419,G
1421,G
1423,G
1425,G
1427,G
1429,G
1431,G
1433,G
1435,G
1437,D
1439,D
1441,G
1443,F
1445,G
1447,G
1449,G
1451,G
1453,G
1455,F
1457,G
1459,G
1461,E
1463,E
1465,G
1467,F
1469,E
1471,G
1473,F
1475,F
1477,F
1479,G
1481,D
1483,G
1485,F
1487,G
1489,G
1491,F
1493,F
1495,E
1497,F
1499,G
1501,G
1503,F
1505,F
1507,F
1509,G
1511,G
1513,G
1515,G
1517,F
1519,G
1521,F
1523,F
1525,F
1527,D
1529,F
1531,F
1533,G
1535,G
1537,F
1539,G
1541,G
1543,G
1545,G
1547,E
1549,F
1551,F
1553,F
1555,F
1557,G
1559,G
1561,F
1563,G
1565,G
1567,F
1569,G
1571,E
1573,F
1575,G
1577,G
1579,F
1581,G
1583,F
1585,G
1587,G
1589,G
1591,F
1593,G
1595,G
1597,G
1599,E
